station_a,station_b,pair_type,uparea_a,uparea_b,kge_a,kge_b,mean_ndiff,ndiff_param_CalChanMan1,ndiff_param_CalChanMan3,ndiff_param_GwLoss,ndiff_param_GwPercValue,ndiff_param_LZThreshold,ndiff_param_LakeMultiplier,ndiff_param_LowerZoneTimeConstant,ndiff_param_PowerPrefFlow,ndiff_param_SnowMeltCoef,ndiff_param_TransSub,ndiff_param_UpperZoneTimeConstant,ndiff_param_b_Xinanjiang
16567.0,5478.0,sibling,3.793335e+09,1.3923743e+10,0.304095,0.577393,0.5114433288296057,0.12555044444444444,0.4658266666666667,0.89970874,0.7824668341708543,0.10317666666666661,0.33265933333333336,0.5415724637681161,0.255658,0.9772225000000001,0.04641926666666667,0.7553073268317079,0.8517517034068136
5483.0,5478.0,sibling,1.095601e+10,1.3923743e+10,0.127627,0.577393,0.5085067159376172,0.7901311111111112,0.4217311111111111,0.9009986400000001,0.23061306532663317,0.4844566666666666,0.33265933333333336,0.019604347826086978,0.2888886666666667,0.9390000000000001,0.04176246666666667,0.7553073268317079,0.8969278557114229
16758.0,5618.0,sibling,3.1211308e+09,7.448127e+10,0.755457,0.907617,0.5082743999455811,0.4900466666666667,0.7896622222222223,0.6598284999999999,0.5356271356783919,0.48579700000000003,0.331478,0.6031721739130435,0.29202666666666666,0.9346025,0.05974800000000002,0.2826706676669168,0.6346332665330662
16601.0,5494.0,direct,3.2752878e+09,1.29913e+12,0.770631,0.786123,0.5077478418554636,0.7034464444444444,0.4919888888888889,0.841294,0.2139346733668342,0.2044099999999999,0.6666666666666666,0.3677678260869566,0.75186,0.8403624999999999,0.05523733333333334,0.31756689172293073,0.638438877755511
16552.0,5478.0,sibling,8.5826883e+09,1.3923743e+10,0.832899,0.577393,0.506712833790131,0.7978822222222224,0.4217311111111111,0.90176921,0.7504608040201005,0.28756999999999994,0.33265933333333336,0.16905652173913044,0.30900839999999996,0.9403000000000001,0.037047333333333335,0.3866676669167291,0.7464014028056112
5484.0,7048.0,sibling,2.1435965e+10,1.4393639e+11,0.828075,0.207888,0.5059148359795884,0.9614911111111112,0.5792588888888889,0.964608,0.012237185929648205,0.6795576666666666,0.310768,0.4486565217391304,0.8556039999999999,0.9964275,0.0,0.1606176544136034,0.10175150300601203
5484.0,5447.0,direct,2.1435965e+10,1.5872207e+12,0.828075,0.848397,0.5059148359795884,0.9614911111111112,0.5792588888888889,0.964608,0.012237185929648205,0.6795576666666666,0.310768,0.4486565217391304,0.8556039999999999,0.9964275,0.0,0.1606176544136034,0.10175150300601203
5468.0,5494.0,direct,1.2255144e+10,1.29913e+12,0.758138,0.786123,0.505077765836882,0.9615086666666666,0.1111111111111111,0.9999836932,0.2772743718592965,0.2266566666666666,0.997678,0.4684968115942029,0.8333808,0.8375424999999999,0.11749626666666665,0.1401750437609402,0.08962925851703414
16557.0,5478.0,sibling,1.3049757e+09,1.3923743e+10,0.710913,0.577393,0.5011917188912278,0.7714755555555557,0.4217311111111111,0.619969,0.6819005025125627,0.30108999999999997,0.33265933333333336,0.56678115942029,0.30999173333333335,0.9772225000000001,0.014712066666666667,0.14301175293823454,0.8737559118236472
15422.0,5569.0,sibling,2.4562378e+09,1.30832335e+11,0.732341,0.526021,0.4982469449287697,0.19171111111111117,0.8874155555555555,0.290778,0.33976783919597986,0.554509,0.0,0.5864334782608696,0.9834768,0.576675,0.0062990666666666644,0.6122780695173794,0.9496194188376753
