ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,CalChanMan1,CalChanMan3,GwLoss,GwPercValue,LZThreshold,LakeMultiplier,LowerZoneTimeConstant,PowerPrefFlow,SnowMeltCoef,TransSub,UpperZoneTimeConstant,b_Xinanjiang
13448,FAZENDA RURAL ZEBU,RIOS GURUPI.TURIAÇU E OUTROS,Gurupí,1104,BR,16300.0,16268.38221,-3.3197,-46.8456,-46.875,-3.325, ,calibrated,17/12/1980 00:00',01/08/2023 00:00',02/08/2003 00:00',0.23703,0.109364,KGEJSD,SouthAmerica,NorthBrazilAtlanticCoast,2.13713,2.32354,0.0,1.99945,15.8134,1.0,594.131,7.9944,4.0,0.0626618,39.9997,0.01
13454,RIO BRANCO,RIO SOLIMÕES. JAVARI.ITACUAI,Acre,1104,BR,23500.0,23058.08,-9.975,-67.8008,-67.825,-9.975, ,calibrated,01/01/1980 00:00',01/04/2023 00:00',30/11/2002 00:00',0.867735,0.0271268,KGEJSD,SouthAmerica,Amazonas,3.83255,1.0,0.479344,0.882371,5.97649,1.0,624.598,3.62311,4.0,0.0901229,9.83528,1.07362
13462,POSTO AJURICABA,RIO SOLIMÕES.NEGRO.BRANCO.....,DEMENI,1104,BR,16900.0,17780.12,0.8842,-62.6219,-62.625,0.925, ,calibrated,29/05/1982 00:00',01/11/2022 00:00',02/05/2001 00:00',0.854817,0.0384624,KGEJSD,SouthAmerica,Amazonas,1.99539,3.92517,0.957805,1.03735,5.22715,1.0,171.812,3.62752,4.0,0.029339,18.6608,0.10867
13475,SERINGAL SÃO LUIZ,RIO SOLIMÕES.PURUS.COARI...,Tarauaca,1104,BR,5360.0,5379.73,-8.6181,-71.5517,-71.525,-8.625, ,calibrated,15/02/1997 00:00',01/02/2012 00:00',15/02/1997 00:00',0.538818,0.090084,KGEJSD,SouthAmerica,Amazonas,2.71403,1.0,0.105563,0.227465,24.7384,1.0,414.018,5.62256,4.0,0.0471346,5.05584,1.54842
13476,MORADA NOVA II,RIO JAGUARIBE,BANABUIU,1104,BR,17300.0,17192.44,-5.1219,-38.4464,-38.475,-5.125, ,calibrated,01/01/1980 00:00',01/07/2023 00:00',27/06/2003 00:00',0.434051,0.3759,KGE,SouthAmerica,EastBrazilAtlanticCoast,2.17732,1.0,0.676105,0.75409,15.9919,1.0,452.819,2.82107,4.0,0.00762446,17.5602,0.0888617
13480,VILA BITTENCOURT,RIO SOLIMÕES.PURUS.COARI...,Caqueta/Japura,1104,BR,206000.0,206263.26,-1.3947,-69.4283,-69.425,-1.375, ,calibrated,27/01/1980 00:00',01/06/2023 00:00',27/05/2003 00:00',0.731285,0.0583306,KGEJSD,SouthAmerica,Amazonas,2.81794,5.0,0.394655,0.590506,26.3074,1.0,492.562,1.65123,4.0,0.0,13.4726,2.79858
13485,BARRA DO PALMA,RIO TOCANTINS.PARANÃ.PALMA....,PALMA,1104,BR,17700.0,17506.52,-12.6033,-47.8614,-47.825,-12.625, ,calibrated,01/01/1980 00:00',26/09/2006 00:00',04/06/1985 00:00',0.854468,0.0240776,KGEJSD,SouthAmerica,Tocantis,1.24773,1.0,0.024024,2.0,17.3688,1.0,730.0,0.995825,4.0,0.0,19.0202,3.05168
13486,TORIQUEJE,RIO ARAGUAIA.MORTES.JAVAÉS....,Das Mortes,1104,BR,17700.0,17767.69,-15.2492,-53.0558,-53.025,-15.225, ,calibrated,01/01/1980 00:00',01/11/2022 00:00',20/05/2002 00:00',0.895614,0.033544,KGEJSD,SouthAmerica,Tocantis,1.89153,2.13252,0.0139791,1.89928,14.9726,1.0,386.449,0.690615,4.0,0.00943088,40.0,0.675055
13491,SÃO JOSÉ DO SUCURIU,RIOS PARANÁ.PARDO E OUTROS,SUCURIÚ,1104,BR,17900.0,17925.94125,-19.965,-52.2194,-52.225,-19.925, ,calibrated,18/01/1983 00:00',01/08/2005 00:00',13/07/1983 00:00',0.769018,0.0485017,KGEJSD,SouthAmerica,LaPlata,4.17833,1.0,0.0,2.0,13.9971,1.0,730.0,0.736136,4.0,0.0,39.9052,0.01
13495,NOVO ACORDO,RIO TOCANTINS.MANUEL  ALVES.SONO...,DO SONO,1104,BR,18000.0,17839.0,-9.9633,-47.6747,-47.625,-9.975, ,calibrated,01/01/1980 00:00',01/03/2023 00:00',21/09/2002 00:00',0.713942,0.0865906,KGEJSD,SouthAmerica,Tocantis,0.5,1.0,0.000252694,1.9876,3.11412,1.0,444.751,2.82003,4.0,0.000184865,18.9337,0.318121
