efas,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,GlofasID,note,oldnotes,SourceGlo,GlofasV5
11901,ALVENCAS / OSCAR BRESSANI,RIOS PARANÁ.PARDO E OUTROS,DO PEIXE,1104,BR,1060,0,-22.2675,-50.1489,0,0, , , ,NULL,no
11904,PCH VOTORANTIM JUSANTE,RIOS PARANÁ.TIETÊ E OUTROS,SOROCABA,1104,BR,1065,0,-23.5414,-47.4444,-47.425,-23.525, ,PCH means small hydropower, ,NULL,no
11906,FAZENDA VARGEM ALEGRE,RIO DOCE,MANHUAÇU,1104,BR,1070,0,-20.1706,-41.9611,-41.975,-20.225, ,efas 13144 has long ts, ,NULL,no
11907,BARRA DE SÃO GABRIEL,RIO DOCE,SÃO JOSÉ,1104,BR,1070,0,-19.0411,-40.5339,-40.575,-19.025, ,11873 long ts, ,NULL,no
11909,FAZENDA SÃO JOSÉ,RIOS PARANÁ.TIETÊ E OUTROS,RIBEIRÃO MONJOLINHO,1104,BR,1070,0,-22.0594,-48.09,-48.075,-22.075, ,11710 has more data, ,NULL,no
11912,UHE FUMAÇA JUSANTE,RIO RIBEIRA DO IGUAPE,JUQUIÁ,1104,BR,1077,0,-24.0103,-47.2936,-47.275,-24.025, , , ,NULL,no
11913,MURIAÉ,RIO PARAÍBA DO SUL,MURIAÉ,1104,BR,1080,0,-21.1292,-42.3667,0,0, , , ,NULL,no
11916,UHE GOV. JOSÉ RICHA PORTO SANTO ANTÔNIO,RIOS PARANÁ.IGUAÇU E OUTROS,GUARANI,1104,BR,1080,0,-25.3939,-53.1039,-53.075,-25.375, ,11916 long ts, ,NULL,no
11917,PONTE DO RIO TAPEJARA,RIOS URUGUAI.DO PEIXE E OUTROS,TAPEJARA,1104,BR,1080,0,-27.9269,-52.0917,-52.075,-27.925, ,end of catch, ,NULL,no
11921,NOVA FÁTIMA,RIOS PARANÁ.PARDO E OUTROS,AGUAPEÍ OU FEIO,1104,BR,1090,0,-21.780278,-49.809167,-49.775,-21.775, , , ,NULL,no
11924,FAZENDA NOVA FLORESTA,RIO DOCE,JOSÉ PEDRO,1104,BR,1100,0,-19.95,-41.7,0,0, , , ,NULL,no
11925,PONTO DE PERGUNTA,RIO PARAÍBA DO SUL,Negro,1104,BR,1100,0,-21.7347,-41.9861,0,0, , , ,NULL,no
11926,CAPIVARI - JUSANTE,RIO RIBEIRA DO IGUAPE,CAPIVARI,1104,BR,1100,0,-25.0881,-48.8272,-48.825,-25.075, ,affected by reserv not in GloFAS, ,NULL,no reservoir
11927,PCH INDAIAZINHO MONTANTE 2,RIOS PARANÁ.PARDO E OUTROS,INDAIÁ GRANDE,1104,BR,1103,0,-19.0656,-52.5017,-52.525,-19.075, ,12374 also reserv longher ts PCH means small hydropower, ,NULL,no reservoir
11929,VÁRZEA GRANDE,RIOS APODI.PIRANHAS E OUTROS,PIRANHAS-AÇU,1104,BR,1110,0,-6.9192,-38.3808,-38.425,-6.925, ,reserv, ,NULL,no reservoir
11932,ESTAÇÃO DOURADOQUARA,RIO PARANAÍBA,PERDIZES,1104,BR,1110,0,-18.45,-47.666667,0,0, , , ,NULL,no
11933,VERGARA. arr. Parão,LAGUNA MERIN,ARROIO PARAO,1104,UY,1110,0,-32.9425,-53.9269,-53.925,-32.925, ,REPLACED by  26908 flow ok, ,NULL,no
11934,AREIAS - FAZ. SÃO BENTO,RIO PARANAÍBA,AREIAS,1104,BR,1115,0,-16.0506,-48.3664,-48.375,-16.025, ,end of catchment, ,NULL,no
11935,PCH SANTA ROSA II JUSANTE,RIO PARAÍBA DO SUL,Grande,1104,BR,1119,0,-22.0944,-42.2783,-42.275,-22.075, ,PCH means small hydropower 11935 has long ts, ,NULL,no
11938,PONTE CONSTANSO DE MARCO,RIOS URUGUAI.CHAPECÓ E OUTROS,CHAPECÓ,1104,BR,1120,0,-26.6836,-52.0339,-52.025,-26.675, ,12261 has long and newer ts, ,NULL,no
11941,FAZENDA IRMÃOS FERNANDES,RIOS PARANÁ.PARANAPANEMA E ...,ARROIO GUAÇU,1104,BR,1130,0,-24.3831,-54.1831,0,0, , , ,NULL,no
11942,AUGUSTO SEVERO,RIOS APODI.PIRANHAS E OUTROS,DO CARMO,1104,BR,1140,0,-5.8672,-37.3147,-37.325,-5.875, ,12158 more data, ,NULL,no
11943,CATOLÉ,RIOS PARDO.CACHOEIRA E OUTROS,CATOLE GRANDE,1104,BR,1140,0,-14.933333,-40.45,-40.475,-14.925, ,12101 has long ts, ,NULL,no
11945,ATIBAIA,RIOS PARANÁ.TIETÊ E OUTROS,ATIBAIA,1104,BR,1140,0,-23.1056,-46.5569,-46.525,-23.075, ,redundantaffected by reservoir NOT in GloFAS, ,NULL,no reservoir
11947,PCH SANTA CAROLINA JUSANTE,RIO TAQUARI,TURVO,1104,BR,1142,0,-28.6189,-51.4011,-51.425,-28.625, ,PCH means small hydropower, ,NULL,no
11948,ATIBAIA,RIOS PARANÁ.TIETÊ E OUTROS,ATIBAIA,1104,BR,1143,0,-23.1053,-46.5558,-46.525,-23.075, ,11945 long ts, ,NULL,no
11950,ALFREDO GRAÇA,RIO JEQUITINHONHA,GRAVATA,1104,BR,1150,0,-17.033333,-42.116667,-42.125,-17.025, , , ,NULL,no
11952,CACHOEIRA DO OITO,RIO DOCE,PANCAS,1104,BR,1160,0,-19.4333,-40.6167,0,0, , , ,NULL,no
11953,PONTE DO UMBARAZINHO,RIOS PARANÁ.IGUAÇU E OUTROS,IGUAÇU,1104,BR,1160,0,-25.5986,-49.2608,-49.225,-25.575, ,11724 has long ts, ,NULL,no
11954,PRAINHA DO OURO VERDE,RIOS URUGUAI.CHAPECÓ E OUTROS,CHAPECOZINHO,1104,BR,1160,0,-26.7553,-52.3272,-52.275,-26.775, ,11954 has long and newer ts, ,NULL,no
11957,JUAZEIRO,RIO JAGUARIBE,QUIXERAMOBIM,1104,BR,1170,0,-5.0456,-39.6883,-39.675,-5.025, ,flat linerfew nonzero values  doubts on data quality, ,NULL,no
11958,SÃO JOSÉ DA LAJE,RIOS CAPIBARIBE.MUNDAÚ E .....,CANHOTO,1104,BR,1170,0,-9.0042,-36.0511,-36.025,-9.025, ,flow ok, ,NULL,no
11963,MUTUM,RIO DOCE,Sao Manoel,1104,BR,1180,0,-19.8181,-41.4344,0,0, , , ,NULL,no
11965,SANTANA DO GARAMBEU,RIO GRANDE,Grande,1104,BR,1180,0,-21.6,-44.1,0,0, , , ,NULL,no
11967,PROVISÃO,RIOS PARDO.CACHOEIRA E OUTROS,ALMADA,1104,BR,1190,0,-14.633333,-39.2,0,0, , , ,NULL,no
11968,PCH SÃO JOÃO MONTANTE 2,RIO GRANDE,SÃO JOÃO,1104,BR,1190,0,-20.8533,-46.7031,-46.725,-20.825, ,PCH means small hydropower efas 12014 has long ts, ,NULL,no
11969,RIO ABAIXO,RIOS PARANÁ.TIETÊ E OUTROS,Tietê,1104,BR,1190,0,-23.52,-46.299167,0,0, , , ,NULL,no
11970,CASTRO,RIOS PARANÁ.PARANAPANEMA E ...,IAPÓ,1104,BR,1190,0,-24.7817,-50.0058,0,0, , , ,NULL,no
11971,FAZENDA JANGADA,RIOS PARANÁ.PARANAPANEMA E ...,GUIRAI,1104,BR,1190,0,-22.5456,-54.025,-54.025,-22.525, ,not sure data in 2016, ,NULL,no poor quality
11973,ARAGUAINHA,RIO ARAGUAIA.CAIAPÓ.CLARO.....,ARAGUAINHA,1104,BR,1200,0,-16.8569,-53.0378,0,0, , , ,NULL,no
11974,MAJOR PORTO,RIOS SÃO FRANCISCO.DAS VELHAS,RIBEIRÃO AREADO,1104,BR,1200,0,-18.7064,-46.0397,-46.075,-18.725, ,end of catchment, ,NULL,no
11975,CAMBUIS,RIOS VAZA BARRIS.ITAPICURU E .,SUBAÚMA,1104,BR,1200,0,-12.133333,-37.966667,-37.925,-12.125, ,11976 has long ts, ,NULL,no
11977,BARRA DO PRATA,RIO PARANAÍBA,APORÉ OU DO PEIXE,1104,BR,1200,0,-18.845,-52.2131,-52.225,-18.825, ,removed after calibprobably data too lowbouts about data quality, ,NULL,no
11978,PCH SÃO JOÃO MONTANTE 1,RIO GRANDE,SÃO JOÃO,1104,BR,1207,0,-20.8389,-46.7044,-46.725,-20.825, ,PCH means small hydropower efas 12014 has long ts, ,NULL,no
11981,MATIAS BARBOSA,RIO PARAÍBA DO SUL,PARAÍBUNA,1104,BR,1210,0,-21.8714,-43.3242,-43.325,-21.825, ,11834 long ts, ,NULL,no
