ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,glacier_frac
130,Ounasjoki. Köngäs,Kemijoki,Ounasjoki,1011,FI,4488.0,4531.83,67.878636,24.844374,24.875,67.925,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.856847,0.0183296,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
131,Unari  luusua,Kemijoki,Meltausjoki,1011,FI,1198.0,1118.21,67.130471,25.747274,25.775,67.125,efas,calibrated,01/01/1982 00:00',31/12/2012 00:00',15/11/1992 00:00',0.864237,0.0265595,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
132,Ounasjoki. Marraskoski,Kemijoki,Ounasjoki,1011,FI,12303.0,12172.5,66.798477,25.420245,25.425,66.825,NRT,calibrated,28/05/2009 00:00',01/01/2024 00:00',28/05/2009 00:00',0.805445,0.0983471,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
133,Valajaskoski,Kemijoki,Kemijoki,1011,FI,47425.0,47443.17,66.424052,25.540257,25.475,66.425,NRT,calibrated,27/04/2002 00:00',01/01/2024 00:00',24/04/2003 00:00',0.899593,0.0422939,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
134,Isohaara,Kemijoki,Kemijoki,1011,FI,50683.0,50998.22,65.792669,24.545286,24.575,65.825,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.866167,0.0315048,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
135,Muonionjoki. Kaaresuvanto,Torne,Muonio,1011,FI,5732.0,5891.58,68.442281,22.494588,22.475,68.425,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.75449,0.226944,KGE,Europe,KemjokiPaatsjokiTorneBIS,0.0
136,Muonionjoki. Muonio,Torne,Muonio,1011,FI,9259.0,9297.14,67.945748,23.660143,23.625,67.975,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.696888,0.210366,KGE,Europe,KemjokiPaatsjokiTorneBIS,0.0
137,Tengeliönjoki. Haapakoski,Torne,Tengelionjoki,1011,FI,3089.0,2976.77,66.381335,23.783981,23.725,66.425,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.845404,0.0614103,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
138,Inarijoki. Karigasniemi,Tana,Anarjohka,1011,FI,3133.0,2997.81,69.395731,25.844885,25.825,69.375,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.588335,0.215775,KGE,Europe,SwedenNorway,0.0
139,Onnelansuvanto,Tana,Tana,1011,FI,10864.0,10784.83,69.911992,27.026975,26.975,69.925,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.511572,0.26971,KGE,Europe,SwedenNorway,0.0
140,Utsjoki. Patoniva,Tana,Utsjoki,1011,FI,1520.0,1529.35,69.783662,26.999533,27.025,69.775,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.718555,0.0214223,KGEJSD,Europe,SwedenNorway,0.0
